Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.007247144742660665
Test RMSE 2: ,0.006087989797350955
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
 0.00432156,0.0028603519802, 0.51084912
 0.00433803,0.00695428941086, 0.37620753
 0.00432109,0.0030998964812, 0.39394742
 0.00439747,0.0114518405441, 0.61600322
 0.00437353,0.00205144100251, 1.1319325
 0.00440692,0.00434200427442, 0.01494994
 0.00445326,0.0086402956107, 0.48459405
 0.00452196,0.0115817165205, 0.60956013
 0.00448767,0.00408882174238, 0.09754498
 0.00448725,0.00453720164618, 0.01100962
 0.00453853,0.00775895790494, 0.41505975
 0.00447428,0.00527853679246, 0.15236339
 0.00434174,0.0113627944894, 0.61789823
 0.00436671,0.00122605844511, 2.56158757
 0.00445586,0.0122176001211, 0.63529193
 0.00448526,0.0102609378675, 0.56287968
 0.00477414,0.0221650358673, 0.78460932
 0.00467154,0.00458871673787, 0.01804917
 0.0047082,0.00876726606167, 0.4629797
 0.00484544,0.0175434186096, 0.7238028
 0.0109456,0.00188378158897, 4.81043768
 0.00491233,0.0122274665689, 0.59825468
 0.00469914,0.0126579634291, 0.62875986
 0.00468646,0.00258807657787, 0.81078768
 0.00479617,0.00432073365112, 0.11003713
 0.00500477,0.0290942696547, 0.827981
 0.01114289,0.0101183059727, 0.10126074
 0.00515216,0.0222259334322, 0.76819164
 0.00497032,0.0136909597779, 0.63696349
 0.0112183,0.0190195257032, 0.41016909
 0.00489122,0.00595670525578, 0.17887117
 0.00487119,0.000914255510353, 4.32803869
 0.00473401,0.00951506785857, 0.5024721
 0.0047031,0.00141570972255, 2.32207823
 0.00474211,0.00597128686933, 0.20584796
 0.00473984,0.00489370914899, 0.03144266
 0.00483549,0.0138898876079, 0.65186942
 0.0048605,0.00828321959485, 0.41321102
 0.00494328,0.0146992875259, 0.6637063
 0.01189153,0.00794014321253, 0.49764663
 0.00500449,0.00595400199887, 0.15947424
 0.00486954,0.00992884195861, 0.50955564
 0.00483768,0.00385208840225, 0.2558594
 0.00480172,0.00250276305254, 0.9185667
 0.00482501,0.00274733211469, 0.75625181
 0.00481753,0.00437476267547, 0.10121003
 0.00487747,0.010027610772, 0.51359642
 0.00477392,0.0055528292895, 0.14027217
 0.0048175,0.00667369045969, 0.27813536
 0.00487055,0.00825490462796, 0.40998152
 0.00489256,0.00946632664244, 0.48316213
 0.00483092,0.00259311765666, 0.86297607
 0.00479671,0.00176789063716, 1.71323955
 0.00480433,0.00371522405938, 0.29314563
 0.00483372,0.00567729058027, 0.14858732
 0.0048731,0.00791063580678, 0.38398066
 0.00479466,0.00353484862142, 0.35639849
 0.00479331,0.00273260875658, 0.75411624
 0.00484433,0.0104080356742, 0.53455901
 0.00494915,0.0171497760133, 0.71141589
 0.01049543,0.00208693312288, 4.02911615
 0.00489164,0.00213587417911, 1.29022956
 0.00472884,0.0131022291827, 0.63908142
 0.00970236,0.0140960133224, 0.31169486
 0.00989322,0.00074186068022, 12.33568668
 0.00463487,0.0034964962032, 0.32557669
 0.00461156,0.00106603978546, 3.32587647
 0.0045087,0.00974727334494, 0.53744024
 0.00448829,0.00307235532907, 0.46086207
 0.00454291,0.0075984533282, 0.40212682
 0.00455669,0.00392151559191, 0.16197158
 0.00454574,0.00319174999749, 0.42421666
 0.00455237,0.00706467454988, 0.35561526
 0.00448192,0.00435576749302, 0.0289616
 0.00445276,0.00203059372587, 1.19283605
 0.00435357,0.0079359624499, 0.45141238
 0.0043375,0.00225517683445, 0.92335361
 0.00436273,0.00440014569274, 0.00850343
 0.00439994,0.00488800766949, 0.09984913
 0.00444666,0.00187369361581, 1.37320304
 0.00438455,0.00162132722863, 1.70429885
 0.00433199,0.00255511279503, 0.69542211
 0.00453835,0.00951417703094, 0.52299082
 0.00455568,0.00412210545056, 0.10518321
 0.0045207,0.000281024639423, 15.08647442
 0.00447035,0.00289771163354, 0.54271644
 0.00446106,0.00126748564785, 2.51961064
 0.00441835,7.93974840933e-06, 555.48474121
 0.0043553,0.00268782329889, 0.62038088
 0.00435774,0.00157115886429, 1.77358055
 0.00431178,0.0034274278593, 0.25802302
 0.00430331,0.000903355597117, 3.76369071
 0.00429665,0.00070795783282, 5.06907177
 0.00421651,0.00463094092625, 0.08949247
 0.00422417,0.00139151966963, 2.0356493
 0.00424869,0.00588421334848, 0.277951
 0.00429585,0.00461243059941, 0.06863693
 0.0042711,0.00238711729668, 0.78922868
 0.00429904,0.00460837964678, 0.06712458
 0.00424161,1.71512022979e-05, 246.30708313
 0.00427138,0.00551039520072, 0.22484967
 0.0042631,0.00184934483857, 1.30519485
 0.00428619,0.00319387302743, 0.3420026
 0.00429061,0.00197683724694, 1.17044282
 0.00425894,0.000496821148405, 7.57238674
 0.00424157,0.00084175566017, 4.03895807
 0.0042467,0.00481884322285, 0.11873049
 0.00423009,0.00162598816117, 1.60155225
 0.00424534,0.00387600626499, 0.09528645
 0.00424253,0.00243995509349, 0.73877561
 0.00423954,0.00233591102106, 0.81494045
 0.00424696,0.00361043168712, 0.17630331
 0.00421296,0.000621660198869, 5.77694702
 0.00431365,0.0128693698253, 0.66481233
 0.00427475,0.00151123582334, 1.82864535
 0.0042815,0.00132388191211, 2.2340517
 0.00429492,0.00602475117814, 0.28712121
 0.00428304,0.000758804469405, 4.64445829
 0.00422043,0.00560546589789, 0.24708618
 0.00976758,0.00548542087976, 0.78064293
 0.00407838,0.00296014030567, 0.37776631
 0.00400398,0.0053912547525, 0.25731939
 0.00397,0.00316214291623, 0.25547716
 0.009933,0.0188058333399, 0.47181281
 0.00384455,0.00286464902605, 0.34206548
 0.00841902,0.0152649368794, 0.44847354
 0.00394535,0.00456672939912, 0.13606721
 0.00385839,0.00574111332862, 0.32793677
 0.00389203,0.00340684882038, 0.14241318
 0.00393578,0.00585158411833, 0.32739979
 0.00401714,0.0091445258631, 0.56070518
 0.00389292,0.00824675032775, 0.52794528
 0.0038826,0.00352148634157, 0.10254698
 0.00391469,0.00654086184247, 0.40150177
 0.00389286,0.00036658984453, 9.61910915
 0.00391929,0.00365087955292, 0.07352003
 0.00385633,0.00028098731899, 12.72420311
 0.00385292,0.00120090008759, 2.208359
 0.00384175,0.000965084300835, 2.98074484
 0.00377304,0.00273327169568, 0.38041246
 0.00931711,0.000716055038433, 12.01172638
 0.00534468,0.000415460966578, 11.86446857
 0.00357221,0.00403007655289, 0.11361204
 0.00360864,0.00372227865095, 0.03052912
 0.00363565,0.00400276774477, 0.09171582
 0.00365981,0.00430858611856, 0.15057835
 0.00355299,0.00687020835693, 0.48284033
 0.00352522,0.00255280716469, 0.38091955
 0.00354957,0.00362218037453, 0.02004693
 0.00355925,2.25946400588e-06, 1574.26501465
 0.00346302,0.00717771151896, 0.51753122
 0.00348459,0.000244815982951, 13.2335043
 0.00342434,0.00351153404548, 0.02482959
 0.00357793,0.0103257614276, 0.65349448
 0.00348038,0.00766364780557, 0.54585809
 0.00277794,0.00818951341744, 0.66079265
 0.00338979,0.00445290668944, 0.2387473
 0.0033848,0.000285993375369, 10.8352499
 0.00331911,0.00458524159898, 0.27613232
 0.00322452,0.00903490383684, 0.64310449
 0.00320365,0.00377303401997, 0.15090807
 0.00319372,0.00182075458388, 0.75406331
 0.00320647,0.00248553526567, 0.29005367
 0.00320317,0.00266900036947, 0.20013916
 0.00311985,0.00680887112157, 0.54179597
 0.00308571,0.00580203693244, 0.46816826
 0.00314374,0.00333613172783, 0.05766874
 0.0030917,0.00384838543059, 0.19662327
 0.00309359,0.0015456687673, 1.00145698
 0.00332265,0.0206054378054, 0.83874887
 0.00874741,0.00551296571109, 0.58669716
 0.00332523,0.0105596850458, 0.68510091
 0.00335043,0.00203310007524, 0.64794326
 0.00343323,0.000112915387231, 29.40532112
 0.00845364,0.00868113203063, 0.02620537
 0.00574538,0.0129945090843, 0.55786121
-0.00258822,0.0197444164777, 1.13108623
 0.00315237,0.00385513108502, 0.18229331
 0.00315961,0.00190829802117, 0.65572166
 0.00313945,0.00207981670038, 0.50948572
 0.00321165,0.00646068777399, 0.50289309
 0.0033366,0.0101067790182, 0.66986501
 0.00901141,0.00657343572897, 0.37088308
 0.00783706,0.00882470808693, 0.11191892
 0.00823263,0.00819094318989, 0.00508962
 0.00351258,0.0124062380805, 0.71687007
 0.00338764,0.0083286284615, 0.59325403
 0.00935739,0.0101367382784, 0.07688373
 0.00333259,0.00802898535599, 0.58493012
 0.00320249,0.0112669133173, 0.71576136
 0.00321459,0.00298050336727, 0.0785395
 0.00312572,0.00828413425087, 0.62268555
 0.00316785,0.00136590118067, 1.31923592
 0.00315423,0.00125676090729, 1.50980866
 0.003094,0.00547085145994, 0.43445686
 0.00298547,0.0120845843759, 0.75295192
 0.00297138,0.00743059384951, 0.60011536
 0.00294853,0.00134368715521, 1.19435728
 0.00296848,0.00276360893977, 0.07413057
 0.00287959,0.0118797401749, 0.75760484
 0.00286493,0.00487344947566, 0.41213474
 0.00276789,0.00978250706449, 0.71705741
 0.00821266,0.0109562190039, 0.25041085
-0.00276315,0.0127189070481, 1.21724772
 0.00373171,0.031283744882, 0.88071412
 0.00319848,0.00226227895077, 0.41383272
 0.0031996,0.00112493843839, 1.84424543
 0.00326946,0.00337697849591, 0.03183864
 0.00326116,0.000470336204567, 5.93367767
 0.00324694,0.000177805034305, 17.26123047
 0.00329969,0.00207568135126, 0.58968866
 0.00348628,0.0136809729964, 0.74517334
 0.00881504,0.00836424585756, 0.05389576
 0.00700483,0.000284425193704, 23.6280117
 0.00330031,0.000944949973257, 2.49257255
 0.00332928,0.00317797875024, 0.0476081
-0.00238822,0.0216382371966, 1.1103704
 0.00773775,0.0144526680339, 0.46461418
 0.0035172,0.00344149182945, 0.02199742
 0.00342115,0.00908833613303, 0.62356663
 0.00348298,0.00114597009965, 2.03932786
 0.00908968,0.00202767831071, 3.48280191
 0.00925449,0.00480205904824, 0.92719114
 0.00357154,0.00131773277785, 1.71036649
 0.00351218,0.00695821252971, 0.49524668
 0.00403806,0.00202615095075, 0.99297333
 0.00332122,0.0080862183389, 0.58927459
 0.0033336,0.00130530692963, 1.55388451
 0.00342449,0.0081599401309, 0.580329
 0.00341163,0.00085625803207, 2.98434591
 0.00332776,0.00651382402202, 0.48912397
 0.00342263,0.00773346203185, 0.55742538
 0.00333765,0.00453467569769, 0.26397136
 0.00330116,0.00143016990744, 1.30822623
 0.00317644,0.0117734715957, 0.73020381
 0.0088588,0.00622117043724, 0.42397594
 0.00326612,0.00301935590637, 0.0817261
 0.00335933,0.00941512598367, 0.64319855
 0.00339529,0.00314739923401, 0.07875964
 0.00336997,0.00115851714301, 1.90886319
 0.00343449,0.00280777536704, 0.22320792
 0.00350184,0.00562669883635, 0.37763798
 0.00361369,0.00971894475345, 0.62818104
 0.00362901,0.00260986744303, 0.39049691
 0.00949877,0.0136128341882, 0.30221954
 0.00349753,0.0040534133943, 0.13714032
 0.00346085,0.00245127244159, 0.41185728
 0.0034742,0.00281380857889, 0.23469609
 0.00349053,0.000261243988187, 12.36120605
 0.00342954,0.00713391575415, 0.51926285
 0.0033195,0.0106783925852, 0.68913841
 0.00325042,0.00986603158821, 0.67054391
 0.00835865,0.00251686888317, 2.3210516
 0.00326403,0.00391480679257, 0.16623512
 0.00930321,0.00995075475031, 0.06507523
 0.00316416,0.0051648817186, 0.38737026
 0.00314879,0.00145068858883, 1.17054713
 0.00311967,0.000711162615735, 3.3867209
 0.00309862,0.00342847100891, 0.09620914
 0.00318634,0.00655812652802, 0.51413798
 0.00851067,0.00354129984081, 1.40326011
 0.00329817,0.00357660017114, 0.07784776
 0.00341705,0.0128869766603, 0.73484462
 0.00335185,0.00533509432799, 0.37173527
 0.00337459,0.000445890200693, 6.56819868
 0.01150494,0.00245866176984, 3.67934847
 0.00770434,0.0515259238115, 0.85047644
 0.00144691,0.00239039572737, 0.39469668
 0.00769729,0.0067927631672, 0.1331604
 0.00235449,0.00316574083407, 0.25626051
 0.00242649,0.00097326927229, 1.49313188
 0.00230495,0.0155710149644, 0.85197204
 0.00224058,0.0150190643446, 0.85081786
